id,label,type,cluster_id,cluster_size,type_counts
node:f16d2b3cf78c5bec,protection,entity,5876,1,{'entity': 1}
node:31c7a3b75acf66ed,torn,entity,6431,1,{'entity': 1}
node:cfa028497c4dc47a,fall-through protection,entity,6308,1,{'entity': 1}
node:829684e8a2806bff,its fastening,entity,6081,1,{'entity': 1}
node:40817207e005bdf5,Pallets cages,entity,4619,1,{'entity': 1}
node:034f0ffc16ba0fb1,stored incorrectly,entity,8255,1,{'entity': 1}
node:9b2811fdb8798f80,stored,entity,7117,1,{'entity': 1}
node:31293efe993c24ad,impact,entity,6096,1,{'entity': 1}
node:1c1b1bd9d2192d38,Damage,entity,6434,1,{'entity': 1}
node:94894d0480830370,type,entity,5084,1,{'entity': 1}
node:1a345cef2abea8d3,severity value,entity,5119,1,{'entity': 1}
node:30b402df5de31446,2.0,entity,5852,1,{'entity': 1}
node:f65bceae9e1f5084,description,entity,6971,1,{'entity': 1}
node:f9d5f765546f2696,Exposure,entity,4928,1,{'entity': 1}
node:3a6b50ed4095dd4c,activity by location,entity,6068,1,{'entity': 1}
node:107af1ad6cd438ad,activity,entity,7359,1,{'entity': 1}
node:93f0ff3210061310,Exposure to activity,entity,8025,1,{'entity': 1}
node:0ceb2ed48a6b1d28,Exposure to activity by location,entity,7869,1,{'entity': 1}
node:51b261e0c76bbef8,weekly,entity,8435,1,{'entity': 1}
node:b66ca7b81154bd22,value,entity,7383,1,{'entity': 1}
node:ee61f61ead7008d8,5.0,entity,5262,1,{'entity': 1}
node:8987dddee8db0aa6,criticality,entity,7891,1,{'entity': 1}
node:30a3d0c53ccd6c66,32.0,entity,6820,1,{'entity': 1}
node:6ad8136021b8f634,risk color,entity,7310,1,{'entity': 1}
node:18769c6ca5c2e6a5,Yellow,entity,8381,1,{'entity': 1}
node:ecbe613e47a50e47,16.0,entity,4655,1,{'entity': 1}
node:688608fa38c6d97c,mitigated risk color,entity,6402,1,{'entity': 1}
node:ebd9f7059080901b,system,entity,6713,1,{'entity': 1}
node:150a24f7bf3f4ae1,Intelex,entity,5215,1,{'entity': 1}
node:1dc98cc9a40e5a79,date,entity,7459,1,{'entity': 1}
node:31e9e722cb510113,2023-07-06 00:00:00.000,entity,239,182,{'entity': 182}
node:9e0a3afd66f4fadf,case,entity,5395,1,{'entity': 1}
node:d1f0380090667598,Diarrhea protection,entity,7339,1,{'entity': 1}
node:f02496fb1c3a429d,title,entity,6947,1,{'entity': 1}
node:4233d95cc418823b,Diarrhea protection hit by shelf,entity,5714,1,{'entity': 1}
node:d8ff56e83e8cf384,Diarrhea protection hit,entity,4558,1,{'entity': 1}
node:afc97a12f07d4317,General Business Unit involved,entity,98,2,{'entity': 2}
node:50ab6bc779fa9600,Surface,entity,8152,1,{'entity': 1}
node:c6266c80782ca872,General Business Unit,entity,98,2,{'entity': 2}
node:efb0833c3b6eb969,specific Business Unit,entity,7342,1,{'entity': 1}
node:f4173d42442efd27,Production Solutions,entity,5439,1,{'entity': 1}
node:02b2c2d0700811c7,Business Unit,entity,6084,1,{'entity': 1}
node:07c2fc087cd38657,workplace,entity,5231,1,{'entity': 1}
node:5322bd41eb35fa05,name,entity,5391,1,{'entity': 1}
node:a5e8d30551a7cb72,Non Project Specific,entity,4607,1,{'entity': 1}
node:99ac13c2bb0f4fc7,client,entity,7287,1,{'entity': 1}
node:37073c22143d518f,SMITH METER GMBH,entity,4495,1,{'entity': 1}
node:d9d10f1dc86defd4,case categorization,entity,4957,1,{'entity': 1}
node:562a614a62bfbd0f,Standard Operating Procedures,entity,7522,1,{'entity': 1}
node:3b6a4b81911bbbd9,Operating Procedures,entity,5930,1,{'entity': 1}
node:f4fb9429ef1c1c5d,work process,entity,5055,1,{'entity': 1}
node:8dac4b27874f4313,Construction,entity,6953,1,{'entity': 1}
node:6d240c58fba3263c,2023-07-07,entity,521,10,{'entity': 10}
node:e2c8705aee880200,reported,entity,6155,1,{'entity': 1}
node:8045bc4ef3beffa2,status,entity,5709,1,{'entity': 1}
node:4082fc94e32df0e3,Completed,entity,5625,1,{'entity': 1}
node:fd062c23cbff59ef,loss potential severity,entity,5307,1,{'entity': 1}
node:f59c096b3321a5ef,incident,entity,5355,1,{'entity': 1}
node:a34062f22795c56d,when reported,entity,6180,1,{'entity': 1}
node:f11aa01a8fad5b50,closed,entity,7485,1,{'entity': 1}
node:3dc2d5f80ef9d4ee,operating center,entity,7579,1,{'entity': 1}
node:a0966374f0a560d8,selected incident,entity,4346,1,{'entity': 1}
node:802123272b9534ca,TFMC444,entity,7474,1,{'entity': 1}
node:2809263c1552cd5a,location code,entity,5161,1,{'entity': 1}
node:44ad6ef303383e12,pressure jets,entity,8228,1,{'entity': 1}
node:7e1a0ff346b7dc52,breakdown,entity,4799,1,{'entity': 1}
node:79e76a98b4cee14c,high pressure jets,entity,8563,1,{'entity': 1}
node:70bdaf98a9b48073,for technical reasons breakdown,entity,7977,1,{'entity': 1}
node:9c07575a2479b2a1,for reasons breakdown,entity,6065,1,{'entity': 1}
node:020e795eb78fe3eb,we,entity,5425,1,{'entity': 1}
node:456e2d4bcaf3e75e,yesterday,entity,6894,1,{'entity': 1}
node:5882d3fb9a040cf2,tensioner pads situation,entity,7411,1,{'entity': 1}
node:10b81a4ea20d6fa5,marine growth debris passed during cleaning,entity,7655,1,{'entity': 1}
node:8b404f2ca7648002,large amount,entity,4737,1,{'entity': 1}
node:2db2b0e8ac06d9eb,we can see,entity,4963,1,{'entity': 1}
node:a7fbe2154dc80f13,almost full,entity,5504,1,{'entity': 1}
node:9ca2d009b2ea8d90,compress debris,entity,4983,1,{'entity': 1}
node:fd553e5e4a27ccbb,full,entity,8441,1,{'entity': 1}
node:ad439577045e596a,amount of pads surface teeth,entity,8096,1,{'entity': 1}
node:daf1e821ff795cc6,compress debris of shellfish,entity,7135,1,{'entity': 1}
node:5af80195b68a4db8,large amount of pads surface teeth,entity,7062,1,{'entity': 1}
node:3b4179614ee037c8,amount,entity,5457,1,{'entity': 1}
node:c2507b973fccd819,situation,entity,5575,1,{'entity': 1}
node:618ba1b2ac845d90,potential slippage,entity,5969,1,{'entity': 1}
node:cc58621b661a3b49,our squeezing OFEP,entity,7409,1,{'entity': 1}
node:be30e96d13eed620,To my opinion affected by lack,entity,6741,1,{'entity': 1}
node:0f87b5573dcb4ae7,To my opinion affected by lack on our tensioner pads,entity,8337,1,{'entity': 1}
node:026759489f6dd1ff,our OFEP,entity,6047,1,{'entity': 1}
node:cedc3f77294ba862,To my opinion affected by lack of grip on our tensioner pads,entity,6806,1,{'entity': 1}
node:48392a7ee7d05e44,lack of grip on our tensioner pads,entity,7507,1,{'entity': 1}
node:15b2d730b796cc9f,affected,entity,5465,1,{'entity': 1}
node:a9de62109b5bbd4c,lack,entity,5267,1,{'entity': 1}
node:973b8ab27a953d75,my opinion,entity,5299,1,{'entity': 1}
node:8fc7b722c972d50c,lack on our tensioner pads,entity,5538,1,{'entity': 1}
node:fa8a4a0b2bdeb5d0,lack of grip,entity,5542,1,{'entity': 1}
node:f5be343eaf542d99,To my opinion affected by lack of grip,entity,7197,1,{'entity': 1}
node:c0bfb290b44c7371,My recommendation,entity,4699,1,{'entity': 1}
node:cfc4f8bbea4858c0,our tensioner pads,entity,8357,1,{'entity': 1}
node:7cd31340dfaeb57a,Substantial,entity,6701,1,{'entity': 1}
node:c5c11887218b0e4c,4.0,entity,5423,1,{'entity': 1}
node:3870a30e191483dc,event,entity,473,2,{'entity': 2}
node:f105e53fe5a10f50,undesired event,entity,4529,1,{'entity': 1}
