cluster_id,cluster_size,type_entropy,type_counts
43,5,2.0,"{'""ACCIDENT""': 1, '<INCIDENT_TYPE': 1, 'EQUIPMENT FAILURE': 1, 'LANDESIST': 1}"
98,3,1.584962500721156,"{'""COMPLETED""': 1, '<CLOSED': 1, 'CLOSED, INDICATING THAT THIS CASE WAS REPORTED AS CLOSED)(""RELATIONSHIP""': 1}"
332,3,1.584962500721156,"{'""GRAND CANYON 2 (LCV)""': 1, 'APPOMATTOX PROJECT SITE': 1, 'WORKPLACE""': 1}"
198,3,1.584962500721156,"{'""BODY_PART""': 1, '<BODY_PART': 1, '<BODY_PART>': 1}"
149,3,1.584962500721156,"{'<INCIDENT_TYPE>': 1, 'INCIDENT_TYPE': 1, 'PODIUM PARK': 1}"
120,3,1.584962500721156,"{'""LOCATION""': 1, 'LOCATION': 1, 'ORGANIZATION': 1}"
24,4,1.5,"{'""PROJECT""': 2, 'FISAKKA PIPELINE': 1, 'ORGANIZATION': 1}"
82,5,1.3709505944546687,"{'""ORGANIZATION': 1, '""ORGANIZATION""': 3, 'ORGANIZATION': 1}"
1,4,1.0,"{'""SOURCE ENTITY.""': 1, 'PERSON': 1}"
7,3,1.0,"{'""OIL/CONDENSATE SPILL AT FLARE STACK""': 1, 'EQUIPMENT': 1}"
2,3,1.0,"{'""ORGANIZATION""': 1, 'ORGANIZATION': 1}"
61,3,1.0,"{'""3/18/2024""': 1, 'DATE': 1}"
83,3,1.0,"{'ASIAFLEX PRODUCTS SDN. BHD.': 1, 'EQUIPMENT': 1}"
56,3,1.0,"{'EQUIPMENT': 1, 'INJURY_TYPE': 1}"
125,3,1.0,"{'""BODY_PART""': 1, 'INJURY_TYPE': 1}"
38,2,1.0,"{'""LOCATION""': 1, 'LOCATION': 1}"
331,2,1.0,"{'""ORGANIZATION""': 1, 'ORGANIZATION': 1}"
177,2,1.0,"{'INCIDENT_TYPE': 1, 'NEAR MISS': 1}"
31,2,1.0,"{'""ORGANIZATION""': 1, 'ORGANIZATION': 1}"
84,2,1.0,"{'<BODY_PART>': 1, 'BODY_PART': 1}"
